,CAGR,AnnVol,Sharpe,Alpha(ann),Beta,MaxDD,Calmar
BENCH,0.10732987504213054,0.14804417875177744,0.7249854465543578,0.0,0.9999999999999996,-0.5078480791588498,0.21134248498074723
60_40,0.08456736739326032,0.09916050625212454,0.8528331549482023,0.023144794572631522,0.5597262039768152,-0.2845259355183549,0.29722199925006426
EW_LIVE,0.1316656519936228,0.12058875282790665,1.0918568183678297,0.04410026294764968,0.7792120472767262,-0.37306113176912825,0.35293318113639643
MAX_SHARPE_NET,0.10283856148147641,0.13917237349505207,0.7389294218304941,0.019086250534237514,0.7851026892657386,-0.5159850463390698,0.1993053136154221
MIN_VAR_NET,0.07640243375965228,0.12530245126301381,0.6097441270265428,-0.0022762238228259957,0.7410970909875433,-0.4679154488272813,0.16328256301675184
RISK_PARITY_NET,0.10260666998601264,0.13933828496570227,0.7363853373914354,0.004826392624942333,0.9086635188638164,-0.48205579408075794,0.21285226989476477
MAX_RETURN_NET,0.12588218972488296,0.1646028162876452,0.764763280264309,0.026218199255320762,0.9415498436273853,-0.5388882737389273,0.23359608263784287
