MgmtFee,FinalValue,MgmtFeesPaid,PerfFeesPaid,TotalFees
0.0,14283441.540288184,0.0,846204.4794342358,846204.4794342358
0.01,11782690.388466254,888397.1091629562,631012.2670014463,1519409.3761644026
0.02,9686721.142344441,1551591.6233934837,469418.0639318421,2021009.6873253258
0.03,7949182.4722443065,2034831.9231433887,342449.7049591806,2377281.6281025694
0.04,6504488.618503849,2373586.9142162083,245471.53522963286,2619058.449445841
