ann_ret,ann_vol
0.07457787349920623,0.06462974290594778
0.08708883092148773,0.06544382968266099
0.09038755463514123,0.0718954445197881
0.0905415360270927,0.0730223405249476
0.09136009164567187,0.07433780014310733
0.09459281181202167,0.0750055195250834
0.09742610290293766,0.07542279764736633
0.10333064744784931,0.07573028276703991
0.10351928671199764,0.07946425027886564
0.10395743083126593,0.08022760971557498
0.10499837070770347,0.08166843444266422
0.10728099450294624,0.08545211167096119
0.10733429966962668,0.08562602940680138
0.10855672954871937,0.08570355628619751
0.11171472290718289,0.08663326492100379
0.11276518673014566,0.08803775812246532
0.11902732061295276,0.08817555838851122
0.11953548584364196,0.09542376833348577
0.1202374190047616,0.09778234540265561
0.12173803881990905,0.10041653075398338
0.12182433675271118,0.10128035661940687
0.12589034441361321,0.10305615977432746
0.12788470125116816,0.10447455810903634
0.12872560468377092,0.1054449275087102
0.13058101493223362,0.10596318089749357
0.13369956806672081,0.10653728780298628
0.13486135185801634,0.10871974187476535
0.1356600855432151,0.11130695327103478
0.13988226890630687,0.11155328496123897
0.14163217622494229,0.11398561030789697
0.14290194825868782,0.12047714002844366
0.14507744525400906,0.12185177845929411
0.14518091395691535,0.12438212196880288
0.14644142277522132,0.12458127128778723
0.14717564947183326,0.12766432912357423
0.1477636423169498,0.1280091777650858
0.14940213198240626,0.1281358956416117
0.15396288012457332,0.12878728724397615
0.15422766187255693,0.1296209723924616
0.15595763875071847,0.13351160839281803
0.1580408331153203,0.13542501587020683
0.15872798192086948,0.13617090175521623
0.15884491055854794,0.1381206167378691
0.1634498354790462,0.1386282165315459
0.16484694434591637,0.14314867922928617
0.16883139015439394,0.15107950195327066
0.1691354516785853,0.15449553157995152
0.17037031556884283,0.15453448295341643
0.1710326238573589,0.15671877495328565
0.17175196776783103,0.1601902443373248
0.17214493966773703,0.16240776041830446
0.17244170167492695,0.1625517688187296
0.1732026363887635,0.1628305090206759
0.1747803323255957,0.16590402712607835
0.1757166308395329,0.17878961668148927
