Label,Start,End,Months,CAGR_Best,CAGR_SPY,TotRet_Best,TotRet_SPY,AnnVol_Best,AnnVol_SPY,Sharpe_Best,Sharpe_SPY,MaxDD_Best,MaxDD_SPY,WorstMo_Best,WorstMo_SPY,Terminal_Best_$,Terminal_SPY_$
Dot-com bust,2000-03-01,2002-10-31,3,0.09947306578023851,-0.09485516614977896,0.02399102146762,-0.024607258865292803,0.09349523717096858,0.26629164464630084,1.063937252743032,-0.35620781972250526,-0.0264246126551958,-0.10485171067980437,-0.0264246126551958,-0.10485171067980437,1023991.02146762,975392.7411347072
GFC,2007-10-01,2009-03-31,18,-0.34286720859013464,-0.33655782942249657,-0.467303664743302,-0.4596133519403215,0.23587611417069615,0.2068878459959021,-1.4535902026180252,-1.6267646260339668,-0.5388882737389272,-0.5078480791588498,-0.118594987083797,-0.16518667959486222,532696.335256698,540386.6480596785
COVID shock,2020-02-01,2020-04-30,3,-0.21499074045224842,-0.31972599072861074,-0.05872029513902721,-0.09182201583903371,0.35360230445008367,0.3795034437481924,-0.6080015252915232,-0.842485084116272,-0.082619649184284,-0.12487133870671552,-0.0914711624926214,-0.12487133870671552,941279.7048609728,908177.9841609662
2022 drawdown,2022-01-01,2022-10-31,10,-0.2207682229054143,-0.20895876080401254,-0.1876892282097501,-0.17744312314744548,0.20429629708569014,0.22421753755500468,-1.080627627885077,-0.9319465510263716,-0.19156072071404318,-0.2024700251660163,-0.09082945954996083,-0.09244596325750487,812310.7717902499,822556.8768525545
