Ticker,MAX_SHARPE,MIN_VAR,RISK_PARITY,MAX_RETURN
NOC,0.25,0.25,0.07308939226468064,0.25
AAPL,0.21104149904780198,0.011418927807587388,0.06444768219539379,0.25
PG,0.19364132286790728,0.17327130159304727,0.08802948727937347,0.005
JPM,0.1741677159981326,0.009419815426557829,0.06343584313324527,0.25
MSFT,0.1151494620861577,0.08056286003539008,0.07613681098718471,0.08997134012933874
GLD,0.01,0.01,0.013455883423634546,0.01
UUP,0.01,0.009999999999999995,0.013455883423634546,0.001000000000000005
ACWI,0.0050000000000004225,0.07682340070138007,0.09814893058359511,0.005
QQQ,0.005000000000000337,0.04227036196766647,0.07679050807537607,0.06007918981436833
JNJ,0.005000000000000207,0.18634343793399263,0.10211873145817714,0.005
SPY,0.005000000000000083,0.06332793757259378,0.0949795792394663,0.0579494700562931
HON,0.005,0.026502849366456173,0.07158130769611112,0.005
IWM,0.005,0.023129906752734887,0.07355750112505435,0.005
VNQ,0.005,0.026929200842593374,0.07731657569143832,0.005
TLT,0.001,0.01,0.013455883423634546,0.0010000000000000052
