Fee,FinalValue,FeesPaid
0.0,17078923.15554637,0.0
0.01,13591119.671868052,989431.1306454638
0.02,10813523.142559754,1683149.3278417238
0.03,8601937.421948068,2154382.4541160734
0.04,6841357.607187103,2459567.422708024
