Month,p05,p25,p50,p75,p95
118,1282425.2326098625,2295630.449888589,3328933.085649983,4594290.493067134,70014002.37362912
119,1294784.669896061,2294507.100918155,3342623.3944641557,4662239.602155671,70014002.37362912
120,1314353.3217786902,2312653.378213921,3372731.8591768397,4709928.289086863,70014002.37362912
121,1320099.3451932538,2336231.0611885004,3407836.872550207,4764572.411945458,70014002.37362912
122,1324162.4327483464,2370614.0417770646,3448324.971183331,4817894.181173164,70014002.37362912
123,1325304.03848574,2381329.317827886,3478143.646058789,4883715.604115447,70014002.37362912
124,1315646.8495073223,2403655.947717999,3520150.4737736853,4962034.056916681,70014002.37362912
125,1324174.3888556706,2430828.9853246077,3557282.1387680937,5003899.7299093865,70014002.37362912
126,1325066.2346935903,2436394.3069893243,3585800.6071991283,5079745.816332252,70014002.37362912
127,1339347.116610823,2469201.7494796263,3611779.89395958,5118638.974405396,70014002.37362912
128,1361698.7639853104,2479081.5966860997,3640663.227014591,5194671.860337173,70014002.37362912
129,1373661.4734445265,2517284.41808322,3687395.9608418476,5237236.318263873,70014002.37362912
130,1381426.9480976881,2536360.4450051603,3723170.137463259,5293310.51935908,70014002.37362912
131,1379255.9014114821,2566695.5590396533,3757523.4895631047,5339161.702242374,70014002.37362912
132,1400492.3514701335,2594659.5026371563,3803614.4773775665,5400700.705366314,70014002.37362912
133,1408179.604794542,2611150.443974658,3864086.6477715224,5477010.9474489335,70014002.37362912
134,1410697.0005673887,2638803.3880021563,3911527.745850632,5548663.323171618,70014002.37362912
135,1430824.1873887624,2656558.2430375717,3927116.7217986,5587207.424934431,70014002.37362912
136,1450886.7053639595,2691111.083851503,3975373.7849625405,5683446.0207631895,70014002.37362912
137,1469435.0557463919,2718790.8818913847,4009406.057312138,5752232.417379501,70014002.37362912
138,1471098.3867260038,2749867.770391594,4020294.429818067,5780799.416780609,70014002.37362912
139,1474500.8753217107,2769038.2896243455,4087877.658886962,5869221.254262258,70014002.37362912
140,1501605.3385521097,2783530.773464533,4115470.4261075086,5927912.060913093,70014002.37362912
141,1506612.5967603212,2812507.5845661475,4142817.1558633903,6002355.754910044,70014002.37362912
142,1525803.5937832876,2828998.9742220715,4178207.598732043,6068569.015620305,70014002.37362912
143,1534405.6403774454,2851094.3144334666,4233258.160534901,6133982.839264719,70014002.37362912
144,1529995.7483270497,2887263.3193582334,4275914.150112679,6208684.810708631,70014002.37362912
145,1540915.015188087,2920581.4586061654,4304828.01810107,6268060.558700515,70014002.37362912
146,1562965.1839219232,2939763.1023881263,4349960.85285603,6373029.563577345,70014002.37362912
147,1566059.5246934425,2948755.5099721327,4414455.370319973,6430456.865166244,70014002.37362912
148,1584362.6748129597,2966318.5759047605,4416666.283202359,6505140.188804098,70014002.37362912
149,1575658.7703968075,3001991.5808777204,4477317.795991076,6574072.550288087,70014002.37362912
150,1586034.711494074,3045258.446094974,4518679.964404676,6621476.777536127,70014002.37362912
151,1604901.9396630328,3059091.3162586773,4557804.891778366,6689338.42104164,70014002.37362912
152,1621129.7949045927,3095182.666390481,4591164.458282681,6769136.126819188,70014002.37362912
153,1628119.3620199917,3135517.1712529687,4653857.992040478,6842496.359960918,70014002.37362912
154,1633762.392780097,3157507.525283107,4697491.7259013355,6908951.502141783,70014002.37362912
155,1647305.6213085155,3188823.7262834054,4781338.130395637,7014610.82062476,70014002.37362912
156,1649118.688129529,3207926.2560180128,4817534.387201277,7102702.640530375,70014002.37362912
157,1669535.0938214776,3225210.887760051,4861703.701643605,7128925.677859828,70014002.37362912
158,1670257.0486736,3264831.651848285,4921701.999177198,7236505.325461515,70014002.37362912
159,1681401.0432771991,3263870.482390206,4960401.116521841,7322995.8358081635,70014002.37362912
160,1696976.4741894428,3303885.1145777823,5022696.971209299,7423333.197091947,70014002.37362912
161,1708025.8623872735,3357571.7355438317,5082340.217263973,7495525.357293763,70014002.37362912
162,1723857.9082643155,3374984.2862102976,5142050.475079801,7598378.964341974,70014002.37362912
163,1712337.5144479899,3420243.946285881,5167487.302077783,7730261.683440148,70014002.37362912
164,1740530.1699887926,3433247.895538043,5229696.261803233,7762640.6273168465,70014002.37362912
165,1771564.2120685976,3465196.1576769315,5262646.706190469,7869328.611165827,70014002.37362912
166,1769341.587457231,3504850.1105955243,5289181.33020282,7963504.740670382,70014002.37362912
167,1779051.8233798696,3540653.916903536,5359214.035874389,8063760.913815364,70014002.37362912
168,1801950.6096657559,3541488.799416575,5389910.395583158,8142968.010591941,70014002.37362912
169,1811057.4880558064,3585726.2589760665,5463505.543805588,8265814.7016549315,70014002.37362912
170,1804394.2780785204,3624897.430990567,5514832.1366733145,8336242.116679689,70014002.37362912
171,1828121.6844859174,3660380.543756873,5553310.216911046,8427087.29744521,70014002.37362912
172,1820545.7926007328,3677804.1717171916,5614442.131407007,8483406.853832025,70014002.37362912
173,1853565.6418912099,3690936.1849276004,5703706.29566437,8584272.073462313,70014002.37362912
174,1859269.7694136472,3718711.218990137,5744687.907781397,8705182.376820855,70014002.37362912
175,1862772.9897378827,3768019.674258372,5802558.366977202,8803838.197663058,70014002.37362912
176,1875758.0668313056,3799612.4300337825,5865672.492149377,8873385.267491955,70014002.37362912
177,1893130.131909419,3833878.77668861,5926125.214706841,8923116.834922418,70014002.37362912
178,1914249.0765031404,3857664.332519817,5998220.242577407,9078463.20996141,70014002.37362912
179,1942386.4778404194,3882393.542356978,6055680.597550746,9192550.057724789,70014002.37362912
180,1970464.032373891,3943428.7644248386,6119504.946904572,9274641.406074056,70014002.37362912
181,1940015.3453454364,3981598.532062417,6173625.053831777,9304900.605307251,70014002.37362912
